CarName,Price,Year,KilometersDriven,Fuel Type,Location
Toyota Corolla Altis,"3,50,000",2010,"97,000 km",Petrol,Bandra West
Hyundai Elite i20,"6,75,000",2019,"23,231 km",Petrol,Chembur
BMW X3,"21,00,000",2016,"104,000 km",Diesel,Chembur
Honda City,"4,95,000",2014,"49,000 km",Petrol,Dadar East
Hyundai Venue,"10,85,000",2020,"26,500 km",Petrol,Chembur
BMW X1,"29,95,000",2019,"24,000 km",Diesel,Chembur
Honda Jazz,"6,25,000",2017,"44,000 km",Petrol,Chembur
Honda City ZX,"1,75,000",2008,"146,912 km",Petrol,Bandra Kurla Complex
Toyota Corolla Altis,"9,25,000",2016,"44,800 km",Petrol,Chembur
Honda CRV,"19,90,000",2018,"56,000 km",Petrol,Khar West
Volkswagen Polo,"2,53,000",2011,"63,000 km",Petrol,Bandra West
Land Rover Range Rover Sport,"87,00,000",2019,"65,000 km",Petrol,Bandra West
Toyota Fortuner,"30,99,000",2017,"115,783 km",Diesel,Kurla West
Mercedes-Benz GL-Class,"13,11,000",2008,"120,000 km",Diesel,Bandra West
Land Rover Range Rover Sport,"18,50,000",2007,58925.0 km,Petrol,Bandra West
Honda Jazz,"2,25,000",2010,"60,000 km",Petrol,Bandra West
Mercedes-Benz S-Class,"7,75,000",2007,"121,000 km",Diesel,Bandra West
Hyundai Sonata Embera,"2,95,000",2010,"100,000 km",Diesel,Bandra West
Mercedes-Benz E-Class,"4,65,000",2008,"100,000 km",Diesel,Bandra West
Tata Nano,"1,99,000",2014,"24,235 km",CNG & Hybrids,Chembur
Maruti Suzuki Grand Vitara,"21,50,000",2023,"1,500 km",Petrol,Bandra West
Mercedes-Benz SLC,"63,00,000",2018,"10,000 km",Petrol,Santacruz West
Maserati Quattroporte,"55,00,000",2011,"28,000 km",Petrol,Bandra West
Mercedes-Benz B Class,"13,75,000",2013,"28,000 km",Petrol,Vile Parle East
Tata Manza,"1,19,999",2010,"85,431 km",Diesel,Vaibhav Nagar
Honda Amaze,"4,25,000",2013,"52,000 km",Petrol,Matunga Road
Maruti Suzuki Ertiga,"11,75,000",2022,"36,000 km",CNG & Hybrids,Sion West
Maruti Suzuki maruti-suzuki-dzire,"6,75,000",2018,"46,493 km",Petrol,Chembur
Honda Jazz,"4,75,000",2015,"48,559 km",Petrol,Chembur
Maruti Suzuki Baleno-RS,"4,00,000",2023,10 km,Petrol,Bandra West
Porsche Cayenne,"21,00,000",2011,"96,000 km",Petrol,Bandra West
Maruti Suzuki Ignis,"4,85,000",2017,"30,000 km",Petrol,Bandra West
Toyota Etios,"2,72,000",2012,"55,000 km",Petrol,Bandra West
Maruti Suzuki Alto-K10,"2,95,000",2015,"37,700 km",Petrol,Vile Parle East
BMW 7 Series,"59,75,000",2018,"42,000 km",Diesel,Vile Parle East
Maruti Suzuki Ritz,"3,25,000",2016,"72,000 km",CNG & Hybrids,Dadar East
Toyota Innova Crysta,"22,50,000",2018,"67,200 km",Diesel,Bandra West
Hyundai Verna,"6,40,000",2015,"36,369 km",Petrol,Chembur
Audi A4,"24,75,000",2016,"40,000 km",Petrol,Vile Parle East
Maruti Suzuki Alto-K10,"2,95,000",2016,"75,134 km",CNG & Hybrids,Vaibhav Nagar
Chevrolet Beat,"1,99,999",2013,"64,315 km",Diesel,Vaibhav Nagar
Mini Cooper Countryman,"15,25,000",2015,"47,000 km",Diesel,Bandra West
Toyota Innova Crysta,"24,50,000",2020,"51,000 km",Diesel,Matunga Road
Jaguar F-Pace,"45,00,000",2019,"33,000 km",Petrol,Matunga Road
Hyundai New Elantra,"13,50,000",2019,"23,000 km",Petrol,Matunga Road
Maruti Suzuki Ertiga,"11,35,000",2021,"19,800 km",CNG & Hybrids,Chembur
Land Rover Range Rover Sport,"17,75,000",2010,"100,000 km",Diesel,Bandra West
Volkswagen Polo,"8,25,000",2019,"26,000 km",Petrol,Bandra East
Mercedes-Benz C-Class,"21,90,000",2015,"35,000 km",Petrol,Vile Parle East
Maruti Suzuki Wagon R,"1,05,000",2007,70000.0 km,CNG & Hybrids,Bandra West
Audi Q3,"28,50,000",2018,"36,000 km",Diesel,Vile Parle East
Mahindra XUV500,"4,35,000",2012,"95,000 km",Diesel,Bandra West
Volvo S90,"35,75,111",2019,"38,000 km",Diesel,Bandra West
Kia Carens,"18,75,000",2022,"12,000 km",Petrol,Chembur
Audi Q2,"28,75,000",2020,"19,000 km",Petrol,Vile Parle East
BMW X3,"49,50,000",2019,"47,000 km",Diesel,Bandra Kurla Complex
Maruti Suzuki Wagon-R,"1,10,000",2008,"76,454 km",Petrol,Vaibhav Nagar
Hyundai Verna,"3,55,000",2014,"40,000 km",Petrol,Vidya Nagari
Maruti Suzuki Vitara-Brezza,"7,25,000",2016,"73,000 km",Diesel,Vidya Nagari
BMW X1,"25,99,000",2018,"56,691 km",Diesel,Chembur
Mini Cooper Countryman,"29,95,000",2019,"24,343 km",Petrol,Chembur
Hyundai i10,"2,10,000",2011,"83,000 km",CNG & Hybrids,Chembur
Bentley GT,"76,00,000",2009,"32,000 km",Petrol,Bandra West
Hyundai Grand i10,"4,40,000",2014,"46,000 km",Petrol,Khar West
Maruti Suzuki Ertiga,"7,35,000",2015,"75,965 km",Diesel,Bandra West
Maruti Suzuki Ertiga,"6,75,000",2014,"85,000 km",CNG & Hybrids,Dadar East
