,CarName,Price,Year,KilometersDriven,Fuel Type,Location
386,Hyundai Creta,"8,92,000",2017,"49,904 KM",PETROL,"Horamavu Agara Road, Bengaluru"
387,Hyundai Grand i10,"5,30,000",2017,"35,886 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
388,Maruti Celerio,"4,62,000",2017,"41,436 KM",PETROL,"Bellahalli, Bengaluru"
389,Renault TRIBER,"6,17,000",2019,"51,724 KM",PETROL,"Bellahalli, Bengaluru"
390,Volkswagen Ameo,"8,18,000",2019,"21,960 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
391,Maruti Dzire,"6,48,000",2017,"58,355 KM",PETROL,"Bellahalli, Bengaluru"
392,Nissan MAGNITE,"7,84,000",2021,"34,053 KM",PETROL,"Bellahalli, Bengaluru"
393,Maruti Dzire,"6,48,000",2017,"83,991 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
394,Maruti Celerio,"4,50,000",2017,"50,894 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
395,KIA SELTOS,"14,14,000",2022,"10,845 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
396,Nissan Micra,"4,24,000",2016,"77,282 KM",PETROL,"Horamavu Agara Road, Bengaluru"
397,Maruti New Wagon-R,"6,16,000",2022,"29,074 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
398,Hyundai Elite i20,"6,81,000",2016,"31,983 KM",PETROL,"Sonnappanahalli, Bengaluru"
399,Maruti Swift Dzire,"4,12,000",2013,"1,22,713 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
400,Renault Duster,"8,58,000",2018,"52,153 KM",DIESEL,"Bellahalli, Bengaluru"
401,KIA SONET,"12,89,000",2022,"7,616 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
402,Maruti Swift,"5,11,000",2015,"85,038 KM",PETROL,"Bellahalli, Bengaluru"
403,Maruti S PRESSO,"3,96,000",2019,"95,153 KM",PETROL,"Bellahalli, Bengaluru"
404,Tata NEXON,"10,36,000",2021,"13,496 KM",PETROL,"Bellahalli, Bengaluru"
405,Hyundai i10,"3,03,000",2011,"75,523 KM",PETROL,"Horamavu Agara Road, Bengaluru"
406,Maruti Celerio,"4,50,000",2016,"41,464 KM",PETROL,"Horamavu Agara Road, Bengaluru"
407,Hyundai Creta,"8,76,000",2016,"90,415 KM",PETROL,"Bellahalli, Bengaluru"
408,Maruti Alto 800,"3,37,000",2016,"43,720 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
409,Maruti Alto 800,"2,92,000",2014,"47,795 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
410,Renault Kwid,"4,07,000",2019,"10,155 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
411,Ford Ecosport,"7,54,000",2017,"46,860 KM",DIESEL,"Hosur Road, Singasandra, Bengaluru"
412,Hyundai Verna,"5,53,000",2014,"1,00,258 KM",DIESEL,"Sonnappanahalli, Bengaluru"
413,Honda Brio,"4,53,000",2016,"36,685 KM",PETROL,"GT World Mall, Bengaluru"
414,Nissan MAGNITE,"8,05,000",2022,"30,847 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
415,Nissan Micra,"4,83,000",2016,"33,902 KM",PETROL,"Bellahalli, Bengaluru"
416,Hyundai i20,"4,63,000",2012,"44,326 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
