,CarName,Price,Year,KilometersDriven,Fuel Type,Location
172,Tata Vista Tech,"1,85,000",2011,"87,945 km",Diesel,"Begumpet, Secunderabad, Hyderabad"
173,Hyundai i10,"2,50,000",2010,"86,000 km",Petrol,"Qutbullapur, Hyderabad"
174,Chevrolet Spark,"1,40,000",2008,"80,000 km",Petrol,"Qutbullapur, Hyderabad"
175,Maruti Suzuki Alto-K10,"2,10,000",2011,"73,000 km",Petrol,"Begumpet, Secunderabad, Hyderabad"
176,Skoda Octavia,"2,65,000",2008,"125,000 km",Diesel,"Kukatpally, Hyderabad"
177,Tata Harrier,"20,50,000",2021,"56,000 km",Diesel,"Madhapur, Hyderabad"
178,MG Hector,"20,50,000",2020,"27,000 km",Petrol,"Old Bowenpally, Secunderabad, Hyderabad"
179,Nissan Terrano,"3,95,000",2014,"87,000 km",Diesel,"Balkampet, Hyderabad"
180,Hyundai Elite i20,"6,25,000",2016,"78,501 km",Diesel,"Bowenpally Prithivi Enclave, Secunderabad, Hyderabad"
181,Hyundai i20,"2,95,000",2011,"94,000 km",Petrol,"Balkampet, Hyderabad"
182,Ford Figo,"2,20,000",2012,"110,000 km",Diesel,"Kukatpally, Hyderabad"
183,Mahindra Xylo,"4,25,000",2011,"140,000 km",Diesel,"Moosapet, Hyderabad"
184,Hyundai Eon,"3,30,000",2017,"46,000 km",Petrol,"Kukatpally, Hyderabad"
185,Maruti Suzuki Swift-Dzire,"6,80,000",2019,"96,000 km",Diesel,"BK Guda, Hyderabad"
186,Mercedes-Benz C-Class,"8,99,000",2010,"75,212 km",Diesel,"Madhapur, Hyderabad"
187,Audi A3,"25,50,000",2019,"49,000 km",Diesel,"Venktagiri Nagar, Hyderabad"
188,Mahindra XUV500,"13,00,000",2015,"73,000 km",Diesel,"Old Bowenpally, Secunderabad, Hyderabad"
189,Maruti Suzuki Baleno,"6,25,000",2016,"84,000 km",Petrol,"Old Bowenpally, Secunderabad, Hyderabad"
190,Maruti Suzuki Swift,"5,50,000",2016,"79,000 km",Diesel,"Old Bowenpally, Secunderabad, Hyderabad"
191,Tata Tiago,"4,80,000",2017,"8,200 km",Petrol,"Sanath Nagar, Hyderabad"
192,Maruti Suzuki Ertiga,"7,45,000",2015,"80,000 km",Diesel,"Kukatpally, Hyderabad"
193,Tata Tiago,"4,45,000",2017,"40,000 km",Petrol,"Kukatpally, Hyderabad"
194,Maruti Suzuki Ertiga,"10,50,000",2021,"25,000 km",Petrol,"Old Bowenpally, Secunderabad, Hyderabad"
195,Maruti Suzuki Swift-Dzire-Tour,"4,75,000",2017,"75,000 km",Diesel,"Moosapet, Hyderabad"
196,Ford Ecosport,"4,65,000",2014,"72,000 km",Petrol,"Old Bowenpally, Secunderabad, Hyderabad"
197,Maruti Suzuki maruti-suzuki-brezza,"8,90,000",2021,"56,000 km",Petrol,"Kukatpally, Hyderabad"
198,Maruti Suzuki Omni,"3,20,000",2017,"38,000 km",Petrol,"Balkampet, Hyderabad"
199,Tata Bolt,"2,90,000",2016,"90,000 km",Diesel,"Balkampet, Hyderabad"
200,Hyundai Eon,"3,25,000",2014,"66,000 km",Petrol,"Madhapur, Hyderabad"
201,Maruti Suzuki Celerio,"3,95,000",2015,"65,000 km",Petrol,"Kukatpally, Hyderabad"
202,Ford Ecosport,"7,85,000",2017,"37,000 km",Diesel,"Sanjeeva Reddy Nagar, Hyderabad"
203,Hyundai Creta,"9,65,000",2016,"87,000 km",Diesel,"Begumpet, Secunderabad, Hyderabad"
204,Honda City,"4,50,000",2015,"87,000 km",Petrol,"Begumpet, Secunderabad, Hyderabad"
205,Skoda Rapid,"7,24,000",2017,"96,200 km",Diesel,"Begumpet, Secunderabad, Hyderabad"
206,Maruti Suzuki Baleno,"5,84,000",2018,"94,300 km",Petrol,"Begumpet, Secunderabad, Hyderabad"
207,Hyundai Verna,"4,54,000",2012,"103,000 km",Petrol,"Begumpet, Secunderabad, Hyderabad"
208,Volkswagen VentoTest,"2,65,000",2011,"135,000 km",Diesel,"Balkampet, Hyderabad"
209,Maruti Suzuki Vitara-Brezza,"8,50,000",2018,"85,459 km",Diesel,"Begumpet, Secunderabad, Hyderabad"
210,Mahindra Scorpio,"3,20,000",2008,"99,000 km",Diesel,"Begumpet, Secunderabad, Hyderabad"
211,Mahindra Bolero,"2,15,000",2007,"120,000 km",Diesel,"Kukatpally, Hyderabad"
212,Volkswagen Polo,"9,15,000",2020,"38,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
213,Land Rover Range Rover Evoque,"69,75,000",2021,"15,500 km",Diesel,"Venktagiri Nagar, Hyderabad"
214,Hyundai Creta,"14,75,000",2019,"49,068 km",Diesel,"Madhapur, Hyderabad"
215,Volvo S60,"14,99,000",2014,"81,000 km",Diesel,"Yousuf Guda, Hyderabad"
