CarName,Price,Year,KilometersDriven,Fuel Type,Location
MG Hector Plus Sharp DCT,17.49 Lakh,2020,"18,000 km",Petrol,"Chittranjan Park, New Delhi"
Maruti Ciaz Delta BSIV,7.35 Lakh,2018,"36,472 km",Petrol,"Ramgarh B.o, Gurgaon"
Audi Q7 Technology,81.50 Lakh,2023,"10,000 km",Petrol,"Paltra, Gurgaon"
Mercedes-Benz C-Class Progressive C 200,39.90 Lakh,2019,"39,000 km",Petrol,"Patel Nagar, New Delhi"
Honda Amaze VX Petrol BSIV,6.10 Lakh,2018,"39,972 km",Petrol,"Ramgarh B.o, Gurgaon"
Mercedes-Benz GLA Class 220 D 4MATIC Activity Edition,22.50 Lakh,2017,"28,000 km",Diesel,"Ashok Vihar, New Delhi"
Maruti Swift Dzire ZXI 1.2,7.32 Lakh,2020,"32,057 km",Petrol,"Sector 18, Noida"
BMW X5 xDrive 30d M Sport,28 Lakh,2016,"90,000 km",Diesel,New Delhi
Toyota Innova Crysta 2.8 ZX AT BSIV,19 Lakh,2019,"42,000 km",Diesel,"Lajpat Nagar, New Delhi"
Hyundai Alcazar Signature (O) AT,19.50 Lakh,2022,"33,690 km",Petrol,"Vikas Puri, New Delhi"
Maruti Wagon R LXI BS IV,1.70 Lakh,2010,"1,32,533 km",Petrol,"Sector 63, Noida"
Toyota Corolla Altis D-4D J,5 Lakh,2014,"1,10,000 km",Diesel,Noida
Maruti Celerio VXI AT,3.86 Lakh,2014,"63,000 km",Petrol,"Sector 16, Noida"
Honda City i VTEC V,5.40 Lakh,2015,"59,000 km",Petrol,"Shakarpur, New Delhi"
Tata Harrier XTA Plus AT BSVI,19.50 Lakh,2022,"12,000 km",Diesel,"Shakarpur, New Delhi"
BMW X5 xDrive 30d xLine,69.90 Lakh,2019,"38,000 km",Diesel,"Patel Nagar, New Delhi"
Hyundai Xcent 1.2 VTVT S,5.18 Lakh,2018,"94,803 km",Petrol,"Chattarpur, New Delhi"
Maruti Ertiga CNG VXI BSIV,8.50 Lakh,2018,"61,000 km",CNG,"Krishna Nagar, New Delhi"
Maruti Baleno 1.2 Zeta,5.83 Lakh,2019,"96,012 km",Petrol,"Sector 18, Noida"
Mercedes-Benz E-Class E 200 CGI,21.50 Lakh,2015,"77,000 km",Petrol,"Patel Nagar, New Delhi"
Maruti Ertiga ZXI (O) CNG BSVI,12.50 Lakh,2022,"18,000 km",CNG,"Bengali Market, New Delhi"
Renault KWID 1.0 RXT Optional,3.37 Lakh,2018,"63,417 km",Petrol,Noida
Mahindra Scorpio S5,13.75 Lakh,2020,"24,000 km",Diesel,"Ashok Vihar, New Delhi"
BMW 5 Series 530i M Sport,50 Lakh,2019,"34,900 km",Petrol,"Vikas Puri, New Delhi"
Maruti Ciaz Alpha BSVI,8.76 Lakh,2020,"40,226 km",Petrol,"Sector 11, Faridabad"
Honda Amaze V CVT Petrol,6.75 Lakh,2018,"24,000 km",Petrol,"Defence Colony, New Delhi"
Skoda Rapid 1.0 TSI Ambition,9.66 Lakh,2021,"13,295 km",Petrol,"Ramgarh B.o, Gurgaon"
Hyundai Venue SX Plus Turbo DCT BSIV,8.40 Lakh,2019,"90,000 km",Petrol,New Delhi
Maruti Ritz VXi (ABS) BS IV,2.10 Lakh,2011,"74,632 km",Petrol,"Pitampura, New Delhi"
Mahindra XUV500 W9,12.75 Lakh,2018,"26,000 km",Diesel,"Bengali Market, New Delhi"
Honda City i-VTEC V,8.75 Lakh,2019,"36,000 km",Petrol,"Chittranjan Park, New Delhi"
Mahindra XUV500 AT W6 1.99 mHawk,8.70 Lakh,2018,"90,000 km",Diesel,Gurgaon
Honda City i VTEC V,6.95 Lakh,2015,"50,158 km",Petrol,"Vasant Kunj, New Delhi"
Honda CR-V 2.4L 4WD AT AVN,9.50 Lakh,2014,"65,000 km",Petrol,"Bengali Market, New Delhi"
Maruti Wagon R VXI,6 Lakh,2021,"15,392 km",Petrol,"Vasant Kunj, New Delhi"
Kia Seltos GTK,13.25 Lakh,2019,"28,580 km",Petrol,"Vikas Puri, New Delhi"
Toyota Etios G,3.92 Lakh,2014,"76,413 km",Petrol,"Ramgarh B.o, Gurgaon"
Honda WR-V i-VTEC VX,7.25 Lakh,2017,"19,000 km",Petrol,"Karol Bagh, New Delhi"
Maruti Baleno Alpha,8.93 Lakh,2022,"10,090 km",Petrol,"Sector 18, Noida"
BMW X7 xDrive 40i M Sport,1.11 Crore,2022,"46,979 km",Petrol,"Sector 21e, Gurgaon"
Mahindra Scorpio 1.99 S6 Plus,8.65 Lakh,2017,"80,000 km",Diesel,"Dilshad Garden, New Delhi"
Hyundai Santro Sportz BSIV,5.05 Lakh,2019,"41,017 km",Petrol,"Sector 49, Gurgaon"
Volvo S60 D4 Momentum BSIV,19.90 Lakh,2018,"40,000 km",Diesel,"Vikas Puri, New Delhi"
Mercedes-Benz E-Class Exclusive E 220 d BSIV,53.49 Lakh,2020,"10,000 km",Diesel,Gurgaon
Hyundai Grand i10 Asta Option,4.92 Lakh,2016,"54,959 km",Petrol,"Sector 18, Noida"
Maruti Ciaz 1.3 Zeta,6.75 Lakh,2017,"39,000 km",Diesel,"Chittranjan Park, New Delhi"
Maruti Alto 800 VXI BSVI,4.12 Lakh,2022,"5,481 km",Petrol,"Sector 18, Noida"
Honda City i VTEC CVT VX,4.95 Lakh,2014,"60,000 km",Petrol,New Delhi
Mahindra XUV500 W5 BSIV,7.50 Lakh,2019,"90,000 km",Diesel,Faridabad
Honda Jazz 1.2 SV i VTEC,4.95 Lakh,2015,"52,000 km",Petrol,"Sector 16, Noida"
Mercedes-Benz CLA 200 CGI Sport,27.75 Lakh,2018,"21,536 km",Petrol,"Patparganj, New Delhi"
Honda City 1.5 V AT Sunroof,3.95 Lakh,2012,"40,000 km",Petrol,New Delhi
Hyundai i20 Asta 1.2,5.25 Lakh,2015,"65,000 km",Petrol,"Pitampura, New Delhi"
Ford Ecosport 1.5 Diesel Titanium,5.99 Lakh,2017,"62,000 km",Diesel,"Chittranjan Park, New Delhi"
Skoda Kodiaq 2.0 TDI Style,25.75 Lakh,2018,"28,000 km",Diesel,"Ashok Vihar, New Delhi"
Maruti Ignis 1.2 Zeta BSIV,4.65 Lakh,2017,"19,500 km",Petrol,Faridabad
Hyundai Grand i10 Nios AMT Sportz,7.04 Lakh,2020,"15,573 km",Petrol,"Sector 18, Noida"
Mercedes-Benz CLA 200 CDI Sport,23.50 Lakh,2018,"25,000 km",Diesel,"Rajouri Garden, New Delhi"
Hyundai Verna 1.6 SX VTVT,4.16 Lakh,2013,"45,636 km",Petrol,"Ramgarh B.o, Gurgaon"
BMW X1 sDrive 20d xLine,25.50 Lakh,2018,"34,000 km",Diesel,"Patel Nagar, New Delhi"
Maruti Swift Dzire VXI,5.75 Lakh,2017,"45,912 km",Petrol,"Vasant Kunj, New Delhi"
Hyundai Grand i10 1.2 Kappa Sportz Option,5.61 Lakh,2018,"17,900 km",Petrol,"Sector 11, Faridabad"
Toyota Etios VXD,4.05 Lakh,2015,"43,700 km",Diesel,Noida
Mercedes-Benz C-Class Progressive C 220d,41.90 Lakh,2021,"38,260 km",Diesel,"Sector 21e, Gurgaon"
Maruti S-Presso VXI Plus 2019-2022,4.41 Lakh,2020,"20,146 km",Petrol,"Sector 18, Noida"
Audi A4 35 TFSi Premium,16.90 Lakh,2015,"78,000 km",Petrol,"Nariana, New Delhi"
Kia Seltos HTX Diesel,12.23 Lakh,2020,"40,754 km",Diesel,"Raj Nagar Extension S.o, Ghaziabad"
Mahindra Thar LX 4-Str Hard Top BSVI,14.65 Lakh,2021,"20,000 km",Petrol,Gurgaon
Hyundai Creta 1.6 VTVT AT SX Plus,11.25 Lakh,2018,"58,693 km",Petrol,"Pitampura, New Delhi"
Hyundai Grand i10 Sportz,3.45 Lakh,2013,"68,000 km",Petrol,"Sector 16, Noida"
