,CarName,Price,Year,KilometersDriven,Fuel Type,Location
159,Skoda Fabia Ambiente 1.2 MPI,2.10 Lakh,2011,100K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
160,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT,4.62 Lakh,2015,34K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
161,Jeep Compass Limited (O) 1.4 Petrol DCT,23.85 Lakh,2021,22K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
162,Hyundai Creta 1.6 E+ Petrol,7.21 Lakh,2017,67K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
163,Nissan Magnite XV Premium Turbo CVT (O),10.19 Lakh,2022,20K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
164,Maruti Suzuki Wagon R 1.0 VXI CNG,6.64 Lakh,2022,3K km,Petrol+cng,"Spinny Hub, Korum Mall, Thane, Mumbai"
165,Maruti Suzuki Ignis Alpha AMT Petrol,6.87 Lakh,2021,18K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
166,Maruti Suzuki Wagon R 1.0 VXI CNG,6.58 Lakh,2022,16K km,Petrol+cng,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
167,Tata Nexon XZA Plus Dual Tone Roof AMT Petrol,8.14 Lakh,2018,30K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
168,Nissan Magnite XV Premium Turbo CVT (O) Dual Tone,9.52 Lakh,2021,15K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
169,Toyota Yaris V,7.77 Lakh,2018,24K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
170,Hyundai Creta 1.6 EX VTVT,9.35 Lakh,2019,25K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
171,Maruti Suzuki Baleno Delta Petrol,6.22 Lakh,2019,34K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
172,Kia Sonet GTX Plus 1.5 AT Dual Tone,13.15 Lakh,2020,39K km,Diesel,"Spinny Hub, Seawoods, Navi Mumbai"
173,Hyundai Neo Fluidic Elantra 1.8 SX AT VTVT,5.79 Lakh,2013,51K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
174,Honda City VX CVT,7.29 Lakh,2016,41K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
175,Hyundai Elite i20 Asta 1.2,4.99 Lakh,2015,27K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
